Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
0,-0.143671626,0.086726479,-0.342548974,-0.349098243,-0.401330321,-0.477028298,-0.358277911
0,0.737787352,0.223698163,0.147915866,0.554326925,0.332931313,0.329421226,0.327419423
0,-0.063616606,0.014220383,0.496888718,0.42072923,0.157709101,0.047283292,0.032892808
0,0.794309699,0.370572639,0.156194512,0.04816711,0.180004294,0.132925843,-0.015996669
0,-0.662236587,-0.862945792,-0.738292116,-0.620837988,-0.611290414,-0.591075039,-0.353499962
0,0.241072367,0.176154463,0.468147701,0.593199372,0.194892766,0.303549342,0.465801088
0,-0.338599793,-0.119376331,-0.584145345,-1.248601375,-1.198070964,-1.196723245,-1.089318524
0,-0.735653666,-0.325500565,-0.540141083,-0.945654626,-1.219108527,-1.144718151,-1.01083324
0,-0.494321628,-0.332235094,-0.887724054,-1.23148122,-0.948730247,-0.960482018,-0.640218286
0,0.277247063,0.288377538,-0.003740903,0.503663475,0.7683488,0.557593779,0.321880968
0,0.261489417,0.174601135,0.081793999,-0.141637307,-0.403346488,-0.214497891,-0.239585196
0,-0.514574755,-0.73650749,-0.288050375,-0.005798844,-0.051895783,-0.214680368,-0.215609774
0,-0.142383138,-0.621514024,-1.126337563,-1.258532681,-1.629029079,-1.286643811,-1.063754914
0,-0.633692052,-0.646147953,-0.654763263,-0.927169212,-0.51704691,-0.597448169,-0.56314224
0,-1.634851315,-1.108357349,-0.597901339,-0.946620724,-0.714830494,-0.809596466,-0.785105472
0,-0.465050673,0.082491825,-0.06459035,0.313141629,0.390094873,-0.073769315,0.210443526
0,0.220429129,0.116666148,-0.379131612,-0.691726765,-0.463134126,-0.237756776,-0.017374626
0,1.038316169,0.772192169,0.331172301,0.416163145,0.527445553,0.531824192,0.598951039
0,0.138863934,-0.494434033,-0.156704221,0.236499709,0.211566821,0.245689806,0.157472016
0,1.27895978,0.496000651,0.353799732,0.608132404,0.542599482,0.510612852,0.308138828
0,0.438225287,0.52904536,0.02790611,0.056748116,0.115107134,0.072612678,-0.00894609
0,-0.396320965,-0.492609213,-1.07802802,-1.011736009,-1.074370506,-0.836136329,-0.78469075
0,-0.573036389,0.295856077,0.50234377,0.222757613,0.407818353,0.338004945,0.58190814
